"person_id","person_name","person__wikidata_item","rank_name","position","rank_item","rank_acquisition_date"
100,Островский Алексей Владимирович,Q4339012,чрезвычайный и полномочный посол,генеральный директор мид россии | руководство,Q137783787,"27.12.2024"
227,Грызлов Борис Вячеславович,Q188296,чрезвычайный и полномочный посол,чрезвычайный и полномочный посол российской федерации | посольство российской федерации в республике белоруссия,Q137783787,"10.06.2022"
666,Лавров Сергей Викторович,Q58217,чрезвычайный и полномочный посол,министр иностранных дел российской федерации | руководство,Q137783787,"05.06.1992"
996,Вязалов Сергей Юрьевич,Q124770455,чрезвычайный и полномочный посол,генеральный директор мид россии | руководство,Q137783787,"10.02.2016"
1737,Зязиков Мурат Магометович,Q561800,чрезвычайный и полномочный посол,чрезвычайный и полномочный посол российской федерации | посольство российской федерации в республике кипр,Q137783787,"09.02.2023"
5352,Титов Владимир Геннадиевич,Q4458253,чрезвычайный и полномочный посол, | ,Q137783787,"10.02.2004"
5372,Сентюрин Юрий Петрович,Q102428569,чрезвычайный и полномочный посол,посол по особым поручениям | группа послов по особым поручениям мид российской федерации,Q137783787,"26.12.2017"
11517,Гатилов Геннадий Михайлович,Q15065272,чрезвычайный и полномочный посол,"постоянный представитель российской федерации | постоянное представительство российской федерации при отделении оон и других международных организациях в женеве, швейцарская конфедерация",Q137783787,"12.07.2010"
11518,Богданов Михаил Леонидович,Q4089252,чрезвычайный и полномочный посол, | ,Q137783787,"31.01.2001"
11519,Мешков Алексей Юрьевич,Q2643961,чрезвычайный и полномочный посол,чрезвычайный и полномочный посол российской федерации | посольство российской федерации во французской республике,Q137783787,"28.12.2004"
11521,Моргулов Игорь Владимирович,Q4302421,чрезвычайный и полномочный посол,чрезвычайный и полномочный посол российской федерации | посольство российской федерации в китайской народной республике,Q137783787,"01.05.2012"
11522,Рябков Сергей Алексеевич,Q4402403,чрезвычайный и полномочный посол,заместитель министра иностранных дел российской федерации | руководство,Q137783787,"04.03.2009"
11523,Небензя Василий Алексеевич,Q1000053,чрезвычайный и полномочный посол,"постоянный представитель российской федерации | постоянное представительство российской федерации при оон в нью-йорке, соединенные штаты америки",Q137783787,"10.02.2014"
11733,Антонов Анатолий Иванович,Q4067324,чрезвычайный и полномочный посол, | ,Q137783787,"12.07.2007"
60756,Иванов Евгений Сергеевич,Q124770196,чрезвычайный и полномочный посол,статс-секретарь-заместитель министра иностранных дел россии | руководство,Q137783787,"10.02.2018"
60757,Панкин Александр Анатольевич,Q64401399,чрезвычайный и полномочный посол,заместитель министра иностранных дел российской федерации | руководство,Q137783787,"10.02.2018"
63632,Овечко Геннадий Алексеевич,Q18634693,чрезвычайный и полномочный посол,директор департамента | департамент по работе с соотечественниками за рубежом,Q137783787,"03.09.2018"
129584,Митрофанова Элеонора Валентиновна,Q3050754,чрезвычайный и полномочный посол,чрезвычайный и полномочный посол российской федерации | посольство российской федерации в республике болгарии,Q137783787,"09.02.2010"
168052,Вершинин Сергей Васильевич,Q18237376,чрезвычайный и полномочный посол,чрезвычайный и полномочный посол российской федерации | посольство российской федерации в турецкой республике,Q137783787,"29.08.2007"
168182,Грушко Александр Викторович,Q3658303,чрезвычайный и полномочный посол,заместитель министра иностранных дел российской федерации | руководство,Q137783787,"12.07.2004"
360463,Дьяков Владимир Александрович,Q140121945,чрезвычайный и полномочный посланник 2 класса,советник-посланник | посольство российской федерации в республике северной македонии,Q139927432,"01.04.2024"
376748,Руденко Андрей Юрьевич,Q85820751,чрезвычайный и полномочный посол,заместитель министра иностранных дел российской федерации | руководство,Q137783787,"02.10.2020"
469241,Верченко Дмитрий Юрьевич,Q130286606,чрезвычайный и полномочный посланник 2 класса,чрезвычайный и полномочный посол российской федерации | посольство российской федерации в многонациональном государстве боливия,Q139927432,"21.07.2015"
580836,Климанов Владимир Александрович,Q140121981,чрезвычайный и полномочный посланник 2 класса,заместитель директора департамента | департамент дипломатическо-курьерской связи,Q139927432,"02.09.2013"
833811,Нечаев Сергей Юрьевич,Q4318244,чрезвычайный и полномочный посол,чрезвычайный и полномочный посол российской федерации | посольство российской федерации в федеративной республике германия,Q137783787,"10.02.2012"
834050,Шебаршин Алексей Леонидович,Q64011214,чрезвычайный и полномочный посол,чрезвычайный и полномочный посол российской федерации | посольство российской федерации в федеративной республике нигерии,Q137783787,"11.06.2019"
834086,Голованов Михаил Алексеевич,Q70252256,чрезвычайный и полномочный посол,чрезвычайный и полномочный посол российской федерации | посольство российской федерации в республике джибути,Q137783787,"29.12.2022"
834093,Викторов Анатолий Дмитриевич,Q53562881,чрезвычайный и полномочный посол,чрезвычайный и полномочный посол российской федерации | посольство российской федерации в государстве израиль,Q137783787,"01.10.2019"
834214,Кураков Дмитрий Викторович,Q16668903,чрезвычайный и полномочный посол,чрезвычайный и полномочный посол российской федерации | посольство российской федерации в республике сенегал,Q137783787,"25.12.2020"
834226,Васина Виктория Михайловна,Q140121902,чрезвычайный и полномочный посланник 2 класса,заместитель директора департамента | департамент государственного протокола,Q139927432,"03.09.2018"
834257,Загайнов Евгений Тимофеевич,Q124769641,чрезвычайный и полномочный посол,"постоянный представитель российской федерации | постоянное представительство российской федерации при асеан в джакарте, индонезия",Q137783787,"02.10.2023"
834286,Ганжа Сергей Павлович,Q136816052,чрезвычайный и полномочный посол,чрезвычайный и полномочный посол российской федерации | посольство российской федерации в республике сингапур,Q137783787,"26.12.2025"
834410,Балакин Дмитрий Александрович,Q140121790,чрезвычайный и полномочный посланник 1 класса,заместитель директора департамента | департамент общеевропейского сотрудничества,Q139927408,"02.10.2023"
834417,Васнецов Олег Владимирович,Q27979827,чрезвычайный и полномочный посол, | ,Q137783787,"13.06.2018"
834467,Афанасьев Михаил Юрьевич,Q15064185,чрезвычайный и полномочный посол, | ,Q137783787,"13.06.2013"
834510,Ермаков Владимир Иванович,NONE,чрезвычайный и полномочный посланник 1 класса,директор департамента | департамент по вопросам нераспространения и контроля над вооружениями,Q139927408,"13.06.2018"
834623,Максимов Максим Константинович,Q29865271,чрезвычайный и полномочный посланник 1 класса,заместитель директора департамента | департамент ближнего востока и северной африки,Q139927408,"02.10.2023"
834675,Толченов Сергей Геннадьевич,Q126953009,чрезвычайный и полномочный посланник 1 класса,"чрезвычайный и полномочный посол российской федерации | посольство российской федерации в республике индонезии, в демократической республике восточный тимор, в независимом государстве папуа-новая гвинея и в республике кирибати по совместительству",Q139927408,"13.06.2018"
834690,Аблаев Азамат Ирекович,Q140121854,чрезвычайный и полномочный посланник 2 класса,заместитель директора департамента | департамент кадров,Q139927432,"13.12.2019"
834728,Романченко Игорь Владимирович,Q60827981,чрезвычайный и полномочный посол, | ,Q137783787,"10.06.2022"
834729,Галузин Михаил Юрьевич,Q4132780,чрезвычайный и полномочный посол,заместитель министра иностранных дел российской федерации | руководство,Q137783787,"16.12.2014"
834766,Бурмистров Борис Аркадьевич,Q140121892,чрезвычайный и полномочный посланник 2 класса,"генеральный консул российской федерации | генеральное консульство российской федерации в исфагане, исламская республика иран",Q139927432,"08.06.2020"
834814,Бойков Евгений Мирославович,Q60835664,чрезвычайный и полномочный посол, | ,Q137783787,"02.10.2023"
834855,Климовский Константин Вячеславович,Q43428694,чрезвычайный и полномочный посол,чрезвычайный и полномочный посол российской федерации | посольство российской федерации в республике маврикий,Q137783787,"09.06.2023"
834864,Вадов Андрей Георгиевич,Q140121894,чрезвычайный и полномочный посланник 2 класса,"генеральный консул российской федерации | генконсульство российской федерации в реште, исламская республика иран",Q139927432,"10.02.2017"
834900,Филатов Юрий Анатольевич,Q18741066,чрезвычайный и полномочный посол,чрезвычайный и полномочный посол российской федерации | посольство российской федерации в ирландии,Q137783787,"04.06.2014"
834907,Гармонин Сергей Викторович,Q28497343,чрезвычайный и полномочный посол,чрезвычайный и полномочный посол российской федерации | посольство российской федерации в швейцарской конфедерации,Q137783787,"10.02.2012"
835049,Князев Павел Русланович,Q140121811,чрезвычайный и полномочный посланник 1 класса,посол по особым поручениям | группа послов по особым поручениям мид российской федерации,Q139927408,"28.12.2018"
835092,Алифанов Сергей Дмитриевич,Q140121857,чрезвычайный и полномочный посланник 2 класса,заместитель директора департамента | департамент дипломатическо-курьерской связи,Q139927432,"17.09.2012"
835121,Кошкин Сергей Николаевич,Q15070319,чрезвычайный и полномочный посол, | ,Q137783787,"23.04.2013"
835245,Кожин Артём Александрович,Q98609670,чрезвычайный и полномочный посол,чрезвычайный и полномочный посол российской федерации | посольство российской федерации в республике сейшельские острова,Q137783787,"26.12.2025"
835659,Томихин Евгений Юрьевич,Q65128394,чрезвычайный и полномочный посол,чрезвычайный и полномочный посол российской федерации | посольство российской федерации в королевстве таиланд,Q137783787,"02.10.2023"
835670,Чальян Карэн Драстаматович,Q56308208,чрезвычайный и полномочный посол,чрезвычайный и полномочный посол российской федерации | посольство российской федерации в республике экваториальная гвинея,Q137783787,"27.12.2024"
835732,Токовинин Александр Аврельевич,Q15071540,чрезвычайный и полномочный посол,чрезвычайный и полномочный посол российской федерации | посольство российской федерации в королевстве бельгия,Q137783787,"30.07.2012"
835919,Ганич Данила Викторович,Q65148735,чрезвычайный и полномочный посланник 1 класса,чрезвычайный и полномочный посол российской федерации | посольство российской федерации в исламской республике пакистан,Q139927408,"12.09.2022"
835957,Грозов Андрей Юрьевич,Q62713977,чрезвычайный и полномочный посол,чрезвычайный и полномочный посол российской федерации | посольство российской федерации в австрийской республике,Q137783787,"13.09.2021"
836020,Кислов Александр Александрович,Q140121810,чрезвычайный и полномочный посланник 1 класса,заместитель директора департамента | генеральный секретариат (департамент),Q139927408,"12.09.2022"
836046,Гуськов Андрей Анатольевич,Q21638568,чрезвычайный и полномочный посол,заместитель директора департамента | латиноамериканский департамент,Q137783787,"08.06.2020"
836110,Полянский Дмитрий Алексеевич,Q64493057,чрезвычайный и полномочный посол,"постоянный представитель российской федерации | постоянное представительство российской федерации при организации по безопасности и сотрудничеству в европе (обсе) в вене, австрийская республика",Q137783787,"26.07.2021"
836227,Егоров Александр Рэмович,Q28497991,чрезвычайный и полномочный посол,чрезвычайный и полномочный посол российской федерации | посольство российской федерации в республике гвинея-бисау,Q137783787,"13.09.2021"
836311,Маслов Андрей Михайлович,Q18245833,чрезвычайный и полномочный посол,чрезвычайный и полномочный посол российской федерации | посольство российской федерации в греческой республике,Q137783787,"10.02.2016"
836348,Лукашевич Александр Казимирович,Q23656173,чрезвычайный и полномочный посол,"постоянный представитель российской федерации | постоянное представительство российской федерации при уставных и других органах содружества независимых государств в минске, республика белоруссия",Q137783787,"10.02.2018"
836412,Соколов Алексей Анатольевич,Q24010799,чрезвычайный и полномочный посланник 1 класса,заместитель директора департамента | департамент экономического сотрудничества,Q139927408,"03.09.2018"
836511,Байбаков Владимир Викторович,Q15064257,чрезвычайный и полномочный посол,чрезвычайный и полномочный посол российской федерации | посольство российской федерации в королевстве марокко,Q137783787,"09.06.2023"
836601,Громыко Игорь Анатольевич,Q4150279,чрезвычайный и полномочный посол,чрезвычайный и полномочный посол российской федерации | посольство российской федерации в республике мали,Q137783787,"13.12.2019"
836625,Аржаев Игорь Николаевич,Q140121862,чрезвычайный и полномочный посланник 2 класса,"генеральный консул российской федерации | генеральное консульство российской федерации в сиднее, австралия",Q139927432,"22.12.2015"
836710,Ефимов Александр Владимирович,Q15206633,чрезвычайный и полномочный посол,чрезвычайный и полномочный посол российской федерации | посольство российской федерации в сирийской арабской республике,Q137783787,"03.09.2018"
836737,Гущин Сергей Сергеевич,Q140121931,чрезвычайный и полномочный посланник 2 класса,главный советник департамента | второй европейский департамент,Q139927432,"13.09.2021"
836739,Догадкин Дмитрий Николаевич,Q55104830,чрезвычайный и полномочный посол,чрезвычайный и полномочный посол российской федерации | посольство российской федерации в государстве катар,Q137783787,"09.06.2023"
836752,Топеха Владимир Владимирович,Q140122144,чрезвычайный и полномочный посланник 2 класса,советник-посланник | посольство российской федерации в корейской народно-демократической республике,Q139927432,"13.06.2024"
836805,Хоришко Евгений Викторович,Q140122165,чрезвычайный и полномочный посланник 2 класса,"генеральный консул | генеральное консульство российской федерации в самарканде, республика узбекистан",Q139927432,"27.06.2022"
836851,Башкин Анатолий Геннадьевич,Q47453187,чрезвычайный и полномочный посол,директор департамента | департамент государств африки (южнее сахары),Q137783787,"26.12.2025"
836855,Калабухов Игорь Андреевич,Q109487598,чрезвычайный и полномочный посол,чрезвычайный и полномочный посол российской федерации | посольство российской федерации в боснии и герцеговине,Q137783787,"29.12.2022"
836909,Лабецкий Алексей Казимирович,Q18244769,чрезвычайный и полномочный посол,чрезвычайный и полномочный посол российской федерации | посольство российской федерации в федеративной республике бразилии,Q137783787,"13.09.2021"
836933,Барбин Владимир Владимирович,Q15090153,чрезвычайный и полномочный посол,чрезвычайный и полномочный посол российской федерации | посольство российской федерации в королевстве дания,Q137783787,"26.12.2017"
836951,Сорокин Виктор Александрович,Q18741037,чрезвычайный и полномочный посол,заместитель директора департамента | второй департамент стран снг,Q137783787,"05.12.2013"
836981,Аскальдович Геннадий Иосифович,Q140121783,чрезвычайный и полномочный посол,посол по особым поручениям | группа послов по особым поручениям мид российской федерации,Q137783787,"09.06.2023"
837029,Шведов Андрей Владимирович,Q18280162,чрезвычайный и полномочный посол,заместитель директора департамента | историко-документальный департамент,Q137783787,"13.06.2018"
837083,Жилко Борис Анатольевич,Q109492160,чрезвычайный и полномочный посол, | ,Q137783787,"28.12.2021"
837090,Новиков Алексей Алексеевич,Q70254899,чрезвычайный и полномочный посол, | ,Q137783787,"07.02.2020"
837194,Шуваев Валерьян Владимирович,Q4527247,чрезвычайный и полномочный посол,чрезвычайный и полномочный посол российской федерации | посольство российской федерации в алжирской народной демократической республике,Q137783787,"21.05.2010"
837335,Рамишвили Теймураз Отарович,Q4389751,чрезвычайный и полномочный посол, | ,Q137783787,"28.01.2004"
837422,Лобанов Дмитрий Дмитриевич,Q109486621,чрезвычайный и полномочный посол,чрезвычайный и полномочный посол российской федерации | посольство российской федерации в великом герцогстве люксембург,Q137783787,"28.12.2021"
837467,Андреев Владимир Вадимович,Q140121858,чрезвычайный и полномочный посланник 2 класса,заместитель директора департамента | департамент по работе с соотечественниками за рубежом,Q139927432,"25.05.2006"
837476,Поляков Александр Дмитриевич,Q4718737,чрезвычайный и полномочный посол,чрезвычайный и полномочный посол российской федерации | посольство российской федерации в республике руанда,Q137783787,"11.06.2019"
837479,Ховаев Игорь Анатольевич,Q21857272,чрезвычайный и полномочный посол,посол по особым поручениям | группа послов по особым поручениям мид российской федерации,Q137783787,"09.02.2023"
837490,Евсиков Алексей Николаевич,Q116264650,чрезвычайный и полномочный посол,чрезвычайный и полномочный посол российской федерации | посольство российской федерации в монголии,Q137783787,"02.10.2023"
837496,Германчук Максим Николаевич,Q140121799,чрезвычайный и полномочный посланник 1 класса,заместитель директора департамента | первый департамент стран снг,Q139927408,"09.06.2023"
