diplomat_id,action,person_id,family_name,name,patronymic,wikipedia
324,create,1722023,Авдеев,Андрей,Станиславович,
1,create,1722024,Аветисян,Андрей,Левонович,
2,create,1722025,Агасандян,Микаэл,Вадимович,"https://ru.wikipedia.org/wiki/%D0%90%D0%B3%D0%B0%D1%81%D0%B0%D0%BD%D0%B4%D1%8F%D0%BD,_%D0%9C%D0%B8%D0%BA%D0%B0%D1%8D%D0%BB_%D0%92%D0%B0%D0%B4%D0%B8%D0%BC%D0%BE%D0%B2%D0%B8%D1%87"
8,create,1722026,Андреев,Андрей,Владимирович,
329,create,1722027,Анисимов,Леонид,Владимирович,
332,create,1722028,Аристов,Андрей,Андреевич,
333,create,1722029,Артамонов,Александр,Ростиславович,
16,create,1722030,Баранов,Михаил,Владимирович,
213,create,1722031,Белинский,Владимир,Григорьевич,
368,create,1722032,Варламов,Андрей,Николаевич,
388,create,1722033,Гаврилов,Константин,Юрьевич,
389,create,1722034,Галактионова,Елена,Владимировна,
62,create,1722035,Дедов,Алексей,Юрьевич,
232,create,1722036,Демин,Алексей,Михайлович,
69,create,1722037,Евдокимов,Михаил,Николаевич,
425,create,1722038,Епифанов,Владлен,Викторович,
429,create,1722039,Зайнутдинов,Руслан,Амирович,
242,create,1722040,Зайцев,Алексей,Анатольевич,
431,create,1722041,Захаров,Александр,Константинович,
77,create,1722042,Захарова,Мария,Владимировна,
78,create,1722043,Зейналова,Ирада,Автандиловна,
84,create,1722044,Иванов,Андрей,Павлович,
245,create,1722045,Ильичев,Петр,Викторович,
444,create,1722046,Калугин,Михаил,Александрович,
449,create,1722047,Касаткин,Дмитрий,Витальевич,
472,create,1722048,Королев,Михаил,Юрьевич,
261,create,1722049,Левин,Олег,Владимирович,
502,create,1722050,Линевич,Сергей,Георгиевич,
262,create,1722051,Лисенков,Алексей,Дмитриевич,
505,create,1722052,Литвинов,Максим,Игоревич,
504,create,1722053,Литвинов,Максим,Вадимович,
506,create,1722054,Лобанов,Сергей,Васильевич,
515,create,1722055,Майстренко,Владимир,Демьянович,
521,create,1722056,Мамаев,Александр,Викторович,
537,create,1722057,Молчанов,Сергей,Николаевич,
144,create,1722058,Озеров,Олег,Борисович,
559,create,1722059,Павлов,Владислав,Валерьевич,
283,create,1722060,Павлов,Марат,Игнатьевич,
560,create,1722061,Панков,Александр,Юрьевич,
562,create,1722062,Пантелеев,Евгений,Александрович,
148,create,1722063,Парамонов,Алексей,Владимирович,
563,create,1722064,Патронов,Сергей,Юрьевич,
286,create,1722065,Петренко,Олег,Владимирович,
287,create,1722066,Петров,Андрей,Юрьевич,
153,create,1722067,Писарев,Александр,Борисович,
590,create,1722068,Сагитов,Игорь,Ильдусович,
297,create,1722069,Салтыков,Алексей,Эдуардович,
597,create,1722070,Семенов,Сергей,Алексеевич,
598,create,1722071,Семенов,Сергей,Валентинович,
178,create,1722072,Студенников,Артем,Игоревич,
636,create,1722073,Федорова,Анастасия,Васильевна,
310,create,1722074,Фомин,Олег,Олегович,
195,create,1722075,Хакимов,Бахтиер,Маруфович,
649,create,1722076,Черненко,Сергей,Владимирович,
651,create,1722077,Черновол,Андрей,Георгиевич,
316,create,1722078,Шарашкин,Андрей,Евгеньевич,
207,create,1722079,Щетинин,Александр,Валентинович,
208,create,1722080,Юрков,Анатолий,Леонидович,
