diplomat_id,person_id,dob,family_name,family_name_en,name,name_en,patronymic,patronymic_en,position,position_en,rank,rank_item,department,department_en,country_item
11,836981,1957-05-12,Аскальдович,Askaldovich,Геннадий,Gennady,Иосифович,Iosifovich,посол по особым поручениям,Ambassador-at-Large,чрезвычайный и полномочный посол,Q139927432,группа послов по особым поручениям мид российской федерации,Group of Ambassadors-at-Large of the Ministry of Foreign Affairs of the Russian Federation,
23,1721792,1973-12-07,Бердыев,Berdyev,Марат,Marat,Владимирович,Vladimirovich,посол по особым поручениям,Ambassador-at-Large,чрезвычайный и полномочный посол,Q139927432,группа послов по особым поручениям мид российской федерации,Group of Ambassadors-at-Large of the Ministry of Foreign Affairs of the Russian Federation,
34,1722291,1963-05-01,Бурмистров,Burmistrov,Олег,Oleg,Николаевич,Nikolaevich,посол по особым поручениям,Ambassador-at-Large,чрезвычайный и полномочный посол,Q139927432,группа послов по особым поручениям мид российской федерации,Group of Ambassadors-at-Large of the Ministry of Foreign Affairs of the Russian Federation,
121,1721869,1972-03-01,Лукьянцев,Lukyantsev,Григорий,Gregory,Евгеньевич,Evgenievich,директор департамента,director of the department,чрезвычайный и полномочный посол,Q139927432,департамент многостороннего сотрудничества по правам человека,Department of Multilateral Cooperation on Human Rights,
155,839683,1967-10-16,Полищук,Polischuk,Алексей,Alexey,Анатольевич,Anatolyevich,директор департамента (член коллегии),Director of the Department (member of the board),чрезвычайный и полномочный посол,Q139927432,второй департамент стран снг,Second Department of the CIS countries,
197,842609,1956-09-22,Хорев,Khorev,Михаил,Michael,Владимирович,Vladimirovich,посол по особым поручениям,Ambassador-at-Large,чрезвычайный и полномочный посол,Q139927432,группа послов по особым поручениям мид российской федерации,Group of Ambassadors-at-Large of the Ministry of Foreign Affairs of the Russian Federation,
208,1722080,1957-09-16,Юрков,Yurkov,Анатолий,Anatoly,Леонидович,Leonidovich,посол по особым поручениям,Ambassador-at-Large,чрезвычайный и полномочный посол,Q139927432,группа послов по особым поручениям мид российской федерации,Group of Ambassadors-at-Large of the Ministry of Foreign Affairs of the Russian Federation,
211,834410,1970-01-01,Балакин,Balakina,Дмитрий,Dmitry,Александрович,Alexandrovich,заместитель директора департамента,Deputy Director of the Department,чрезвычайный и полномочный посланник 1 класса,Q139927408,департамент общеевропейского сотрудничества,Department of Pan-European Cooperation,
212,1722300,1966-06-10,Баранов,Baranov,Максим,Maxim,Анатольевич,Anatolyevich,заместитель директора департамента,Deputy Director of the Department,чрезвычайный и полномочный посланник 1 класса,Q139927408,второй департамент азии,Second Department of Asia,
217,1721799,1958-01-04,Броварец,Brovarets,Андрей,Andrey,Петрович,Petrovich,посол по особым поручениям,Ambassador-at-Large,чрезвычайный и полномочный посланник 1 класса,Q139927408,группа послов по особым поручениям мид российской федерации,Group of Ambassadors-at-Large of the Ministry of Foreign Affairs of the Russian Federation,
