"diplomat_id","person_id","dob","family_name","name","patronymic"
11,836981,"12.05.1957",Аскальдович,Геннадий,Иосифович
23,1721792,"07.12.1973",Бердыев,Марат,Владимирович
34,1722291,"01.05.1963",Бурмистров,Олег,Николаевич
121,1721869,"01.03.1972",Лукьянцев,Григорий,Евгеньевич
150,841284,"14.12.1962",Петров,Сергей,Владимирович
155,839683,"16.10.1967",Полищук,Алексей,Анатольевич
178,1722072,"24.12.1968",Студенников,Артем,Игоревич
197,842609,"22.09.1956",Хорев,Михаил,Владимирович
208,1722080,"16.09.1957",Юрков,Анатолий,Леонидович
211,834410,"05.02.1975",Балакин,Дмитрий,Александрович
212,1722300,"10.06.1966",Баранов,Максим,Анатольевич
217,1721799,"04.01.1958",Броварец,Андрей,Петрович
218,843705,"15.09.1963",Буачидзе,Гоча,Леванович
219,1722302,"02.08.1975",Булатов,Артем,Юрьевич
220,1721800,"26.09.1976",Бурляй,Максим,Янович
222,1722303,"04.01.1976",Великанов,Вадим,Валерьевич
223,1721810,"31.07.1974",Волгарев,Александр,Александрович
225,837627,"07.03.1974",Гаппоев,Александр,Сергеевич
226,837496,"10.07.1975",Германчук,Максим,Николаевич
227,1722304,"14.06.1962",Гусев,Вадим,Альбертович
231,844914,"16.12.1962",Дейнеко,Александр,Михайлович
233,1722306,"03.04.1964",Доманов,Александр,""
234,843359,"15.03.1972",Дронов,Алексей,Александрович
235,845846,"13.08.1959",Егоров,Евгений,Николаевич
236,839653,"03.02.1979",Ежов,Сергей,Павлович
237,834510,"24.05.1960",Ермаков,Владимир,Иванович
238,1721827,"09.06.1972",Желоховцев,Иван,Алексеевич
243,840921,"13.01.1957",Запевалов,Владимир,Васильевич
246,837866,"24.05.1959",Кадышев,Леонид,Юрьевич
248,1722308,"10.10.1975",Калугина,Мария,Юрьевна
249,844011,"23.02.1962",Капырин,Игорь,Николаевич
250,836020,"10.06.1964",Кислов,Александр,Александрович
251,835049,"12.05.1964",Князев,Павел,Русланович
253,1721841,"02.04.1961",Кононученко,Сергей,Борисович
255,1721845,"06.11.1969",Корляков,Алексей,Владимирович
257,1721853,"22.10.1963",Красницкий,Олег,Юзефович
259,1722310,"28.11.1968",Кузьмин,Геннадий,Владимирович
262,1722051,"06.12.1968",Лисенков,Алексей,Дмитриевич
263,1721866,"01.04.1975",Логвинов,Кирилл,Михайлович
264,1721868,"08.04.1967",Лукьянцев,Дмитрий,Евгеньевич
265,1722311,"18.06.1965",Лысиков,Андрей,Викторович
