person_id,declarator_id
Q140121783,836981
Q140121784,1721792
Q140121785,1722291
Q140121786,1721869
Q140121787,839683
Q140121788,842609
Q140121789,1722080
Q140121790,834410
Q140121791,1722300
Q140121792,1721799
Q140121793,843705
Q140121794,1722302
Q140121795,1721800
Q140121796,1722303
Q140121797,1721810
Q140121798,837627
Q140121799,837496
Q140121800,1722304
Q140121801,844914
Q140121802,1722306
Q140121803,843359
Q140121804,845846
Q140121805,839653
Q140121806,1721827
Q140121807,840921
Q140121808,1722308
Q140121809,844011
Q140121810,836020
Q140121811,835049
Q140121812,1721841
Q140121813,1721845
Q140121814,1721853
Q140121815,1722310
Q140121816,1722051
Q140121817,1721866
Q140121818,1721868
Q140121819,1722311
Q140121820,1722312
Q140121821,1721872
Q140121822,1722313
Q140121823,1722314
Q140121824,1722316
Q140121825,1721891
Q140121826,1721895
Q140121827,1722318
Q140121828,1721899
Q140121829,841494
Q140121830,1722066
Q140121831,1722321
Q140121832,1721907
Q140121833,1722322
Q140121834,1722323
Q140121835,1721909
Q140121836,1722324
Q140121837,1722325
Q140121838,842125
Q140121839,1721932
Q140121840,838585
Q140121841,844340
Q140121842,1722328
Q140121843,1722074
Q140121844,1722329
Q140121845,1722330
Q140121846,841665
Q140121847,1721956
Q140121849,1722078
Q140121850,1722331
Q140121851,1721961
Q140121852,845787
Q140121853,1721784
Q140121854,834690
Q140121855,1722023
Q140121856,845267
Q140121857,835092
Q140121858,837467
Q140121859,1721786
Q140121860,1722027
Q140121861,841014
Q140121862,836625
Q140121863,1722028
Q140121864,1722029
Q140121865,1722332
Q140121866,1721787
Q140121867,1721788
Q140121868,1721789
Q140121869,1721790
Q140121870,838592
Q140121871,1722334
Q140121872,1722335
Q140121873,1722336
Q140121874,1722337
Q140121875,1722338
Q140121876,1722339
Q140121877,1721793
Q140121878,1721794
Q140121879,1721795
Q140121880,1722340
Q140121881,1722341
Q140121882,839245
Q140121883,845408
Q140121884,1722342
Q140121885,1721797
Q140121886,1722343
Q140121887,1722344
Q140121888,1722345
Q140121889,1722346
Q140121890,1395512
Q140121891,838897
Q140121892,834766
Q140121893,1721801
Q140121894,834864
Q140121895,1721802
Q140121896,1721803
Q140121897,1722032
Q140121898,1722347
Q140121899,1722348
Q140121900,1722349
Q140121901,1721804
Q140121902,834226
Q140121903,1721805
Q140121904,1721806
Q140121905,1721807
Q140121906,1722350
Q140121907,1721809
Q140121908,1722351
Q140121909,1722352
Q140121910,1721811
Q140121911,1722353
Q140121912,1721813
Q140121913,1721814
Q140121916,1722355
Q140121917,1722034
Q140121918,1722356
Q140121919,1722357
Q140121920,1722358
Q140121921,1721816
Q140121922,1721817
Q140121923,1722359
Q140121924,1722360
Q140121925,1722361
Q140121926,1721818
Q140121927,1722363
Q140121928,1721819
Q140121929,1722364
Q140121930,1722365
Q140121931,836737
Q140121932,1721820
Q140121933,1722366
Q140121934,1721822
Q140121935,1721823
Q140121936,1721824
Q140121937,1722367
Q140121938,842492
Q140121939,1722368
Q140121941,1722369
Q140121942,1722370
Q140121944,1721826
Q140121945,360463
Q140121946,1722371
Q140121947,1722372
Q140121948,1722373
Q140121949,1722374
Q140121950,1722375
Q140121951,1722376
Q140121952,1721783
Q140121953,1722038
Q140121954,1722377
Q140121955,1722378
Q140121956,1722379
Q140121957,1722039
Q140121958,1721828
Q140121959,1722041
Q140121960,1721829
Q140121961,1721830
Q140121962,1722380
Q140121963,1722381
Q140121964,1721832
Q140121965,1721833
Q140121966,1722382
