diplomat_id,person_id,person_item,dob,family_name,family_name_en,name,name_en,patronymic,patronymic_en,position,rank,rank_item,department,country_item
1,1722024,Q4055717,1960-05-19,Аветисян,Avetisyan,Андрей,Andrey,Левонович,Levonovich,чрезвычайный и полномочный посол российской федерации,чрезвычайный и полномочный посол,Q137783787,посольство российской федерации в объединенной республике танзании,Q924
2,1722025,Q112992677,1973-04-18,Агасандян,Agasandyan,Микаэл,Mikael,Вадимович,Vadimovich,директор департамента,чрезвычайный и полномочный посол,Q137783787,первый департамент стран снг,
3,840280,Q16166631,1956-05-29,Азизов,Azizov,Искандер,Iskander,Кубарович,Kubarovich,чрезвычайный и полномочный посол российской федерации,чрезвычайный и полномочный посол,Q137783787,посольство российской федерации в республике союз мьянма,Q836
4,839427,Q136815717,1970-10-25,Алимов,Alimov,Александр,Alexander,Сергеевич,Sergeevich,заместитель министра иностранных дел российской федерации,чрезвычайный и полномочный посол,Q137783787,руководство,
5,1721785,Q112992858,1970-08-07,Алипов,Alipov,Денис,Denis,Евгеньевич,Evgenievich,чрезвычайный и полномочный посол российской федерации,чрезвычайный и полномочный посол,Q137783787,посольство российской федерации в республике индии,Q668
6,842174,Q120279437,1958-04-17,Аляутдинов,Alyautdinov,Ринат,Rinat,Жафярович,Zhafyarovich,постоянный представитель российской федерации,чрезвычайный и полномочный посол,Q137783787,"постоянное представительство российской федерации при юнеско в париже, французская республика",Q142
7,840046,Q130286610,1968-05-26,Амбаров,Ambarov,Роман,Novel,Евгеньевич,Evgenievich,чрезвычайный и полномочный посол российской федерации,чрезвычайный и полномочный посол,Q137783787,посольство российской федерации в южно-африканской республике и королевстве лесото по совместительству,Q258
7,840046,Q130286610,1968-05-26,Амбаров,Ambarov,Роман,Novel,Евгеньевич,Evgenievich,чрезвычайный и полномочный посол российской федерации,чрезвычайный и полномочный посол,Q137783787,посольство российской федерации в южно-африканской республике и королевстве лесото по совместительству,Q1013
8,1722026,Q15845822,1956-09-19,Андреев,Andreev,Андрей,Andrey,Владимирович,Vladimirovich,чрезвычайный и полномочный посол российской федерации,чрезвычайный и полномочный посол,Q137783787,посольство российской федерации в республике мадагаскар,Q1019
9,839317,Q4065528,1958-06-26,Андреев,Andreev,Сергей,Sergey,Вадимович,Vadimovich,чрезвычайный и полномочный посол российской федерации,чрезвычайный и полномочный посол,Q137783787,посольство российской федерации в словацкой республике,Q214
10,11733,Q4067324,1955-05-15,Антонов,Antonov,Анатолий,Anatoly,Иванович,Ivanovich,,чрезвычайный и полномочный посол,Q137783787,,
12,834467,Q15064185,1954-12-30,Афанасьев,Afanasyev,Михаил,Michael,Юрьевич,Yuryevich,,чрезвычайный и полномочный посол,Q137783787,,
13,839420,Q60827558,1967-09-30,Баздникин,Bazdnikin,Сергей,Sergey,Александрович,Alexandrovich,директор департамента,чрезвычайный и полномочный посол,Q137783787,историко-документальный департамент,
14,836511,Q15064257,1958-11-20,Байбаков,Baibakov,Владимир,Vladimir,Викторович,Viktorovich,чрезвычайный и полномочный посол российской федерации,чрезвычайный и полномочный посол,Q137783787,посольство российской федерации в королевстве марокко,Q1028
15,840825,Q138609592,1971-11-06,Баранов,Baranov,Анатолий,Anatoly,Александрович,Alexandrovich,директор департамента,чрезвычайный и полномочный посол,Q137783787,управление делами (департамент),
16,1722030,Q18236188,1961-03-07,Баранов,Baranov,Михаил,Michael,Владимирович,Vladimirovich,чрезвычайный и полномочный посол российской федерации,чрезвычайный и полномочный посол,Q137783787,посольство российской федерации в государстве бруней-даруссалам,Q921
17,836933,Q15090153,1957-09-03,Барбин,Barbin,Владимир,Vladimir,Владимирович,Vladimirovich,чрезвычайный и полномочный посол российской федерации,чрезвычайный и полномочный посол,Q137783787,посольство российской федерации в королевстве дания,Q35
18,844322,Q124770178,1955-04-10,Баринова,Barinova,Надежда,Hope,Михайловна,Mikhailovna,директор департамента (член коллегии),чрезвычайный и полномочный посол,Q137783787,историко-документальный департамент,
19,836851,Q47453187,1961-05-14,Башкин,Bashkin,Анатолий,Anatoly,Геннадьевич,Gennadievich,директор департамента,чрезвычайный и полномочный посол,Q137783787,департамент государств африки (южнее сахары),
