person_id,diplomat_id,family_name,name,patronymic,wiki_url
1722024,1,АВЕТИСЯН,АНДРЕЙ,ЛЕВОНОВИЧ,"https://ru.wikipedia.org/wiki/%D0%90%D0%B2%D0%B5%D1%82%D0%B8%D1%81%D1%8F%D0%BD,_%D0%90%D0%BD%D0%B4%D1%80%D0%B5%D0%B9_%D0%9B%D0%B5%D0%B2%D0%BE%D0%BD%D0%BE%D0%B2%D0%B8%D1%87"
844886,210,АГАНИН,АЙДАР,РАШИДОВИЧ,"https://ru.wikipedia.org/wiki/%D0%90%D0%B3%D0%B0%D0%BD%D0%B8%D0%BD,_%D0%90%D0%B9%D0%B4%D0%B0%D1%80_%D0%A0%D0%B0%D1%88%D0%B8%D0%B4%D0%BE%D0%B2%D0%B8%D1%87"
840280,3,АЗИЗОВ,ИСКАНДЕР,КУБАРОВИЧ,"https://ru.wikipedia.org/wiki/%D0%90%D0%B7%D0%B8%D0%B7%D0%BE%D0%B2,_%D0%98%D1%81%D0%BA%D0%B0%D0%BD%D0%B4%D0%B5%D1%80_%D0%9A%D1%83%D0%B1%D0%B0%D1%80%D0%BE%D0%B2%D0%B8%D1%87"
839427,4,АЛИМОВ,АЛЕКСАНДР,СЕРГЕЕВИЧ,"https://ru.wikipedia.org/wiki/%D0%90%D0%BB%D0%B8%D0%BC%D0%BE%D0%B2,_%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80_%D0%A1%D0%B5%D1%80%D0%B3%D0%B5%D0%B5%D0%B2%D0%B8%D1%87_(%D0%B4%D0%B8%D0%BF%D0%BB%D0%BE%D0%BC%D0%B0%D1%82)"
1721785,5,АЛИПОВ,ДЕНИС,ЕВГЕНЬЕВИЧ,"https://ru.wikipedia.org/wiki/%D0%90%D0%BB%D0%B8%D0%BF%D0%BE%D0%B2,_%D0%94%D0%B5%D0%BD%D0%B8%D1%81_%D0%95%D0%B2%D0%B3%D0%B5%D0%BD%D1%8C%D0%B5%D0%B2%D0%B8%D1%87"
840046,7,АМБАРОВ,РОМАН,ЕВГЕНЬЕВИЧ,"https://ru.wikipedia.org/wiki/%D0%90%D0%BC%D0%B1%D0%B0%D1%80%D0%BE%D0%B2,_%D0%A0%D0%BE%D0%BC%D0%B0%D0%BD_%D0%95%D0%B2%D0%B3%D0%B5%D0%BD%D1%8C%D0%B5%D0%B2%D0%B8%D1%87"
839317,9,АНДРЕЕВ,СЕРГЕЙ,ВАДИМОВИЧ,"https://ru.wikipedia.org/wiki/%D0%90%D0%BD%D0%B4%D1%80%D0%B5%D0%B5%D0%B2,_%D0%A1%D0%B5%D1%80%D0%B3%D0%B5%D0%B9_%D0%92%D0%B0%D0%B4%D0%B8%D0%BC%D0%BE%D0%B2%D0%B8%D1%87"
1722026,8,АНДРЕЕВ,АНДРЕЙ,ВЛАДИМИРОВИЧ,"https://ru.wikipedia.org/wiki/%D0%90%D0%BD%D0%B4%D1%80%D0%B5%D0%B5%D0%B2,_%D0%90%D0%BD%D0%B4%D1%80%D0%B5%D0%B9_%D0%92%D0%BB%D0%B0%D0%B4%D0%B8%D0%BC%D0%B8%D1%80%D0%BE%D0%B2%D0%B8%D1%87_(%D0%B4%D0%B8%D0%BF%D0%BB%D0%BE%D0%BC%D0%B0%D1%82)"
834467,12,АФАНАСЬЕВ,МИХАИЛ,ЮРЬЕВИЧ,"https://ru.wikipedia.org/wiki/%D0%90%D1%84%D0%B0%D0%BD%D0%B0%D1%81%D1%8C%D0%B5%D0%B2,_%D0%9C%D0%B8%D1%85%D0%B0%D0%B8%D0%BB_%D0%AE%D1%80%D1%8C%D0%B5%D0%B2%D0%B8%D1%87"
839420,13,БАЗДНИКИН,СЕРГЕЙ,АЛЕКСАНДРОВИЧ,"https://ru.wikipedia.org/wiki/%D0%91%D0%B0%D0%B7%D0%B4%D0%BD%D0%B8%D0%BA%D0%B8%D0%BD,_%D0%A1%D0%B5%D1%80%D0%B3%D0%B5%D0%B9_%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80%D0%BE%D0%B2%D0%B8%D1%87"
